,Unnamed: 0,images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating,rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.Alocation,numResp.rt,date,frameRate,expName,session,participant,Unnamed: 27,img_x,density_x,hull_x,density_y,hull_y,img_y,density,hull,img
40,6444,images/k20.bmp,gestalt,,,0.0,3.0,3.0,19.0,,,,,,,5.0,4.852,,,,,,,2016_Apr_15_1104,59.9215390462,Gestalt_exp1,1,21661,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
41,6678,images/k20.bmp,gestalt,,,0.0,76.0,76.0,19.0,,,,,,,3.0,0.869,,,,,,,2016_Apr_27_1506,59.7303925059,Gestalt_exp1,1,21700,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
42,6813,images/k20.bmp,gestalt,,,0.0,50.0,50.0,19.0,,,,,,,4.0,4.168,,,,,,,2016_Oct_17_1307,59.7253743245,Gestalt_exp1,1,22129,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
43,6927,images/k20.bmp,gestalt,,,0.0,3.0,3.0,19.0,,,,,,,5.0,2.002,,,,,,,2016_Oct_10_1606,59.9369521539,Gestalt_exp1,1,22168,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
44,7120,images/k20.bmp,gestalt,,,0.0,35.0,35.0,19.0,,,,,,,3.0,3.602,,,,,,,2016_Apr_21_0913,59.9258196698,Gestalt_exp1,1,22246,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
45,7284,images/k20.bmp,gestalt,,,0.0,38.0,38.0,19.0,,,,,,,3.0,1.352,,,,,,,2016_Sep_26_1110,59.8731249964,Gestalt_exp1,1,22315,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
46,7459,images/k20.bmp,gestalt,,,0.0,52.0,52.0,19.0,,,,,,,6.0,3.336,,,,,,,2016_Sep_26_1604,59.9215390462,Gestalt_exp1,1,22333,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
47,7581,images/k20.bmp,gestalt,,,0.0,13.0,13.0,19.0,,,,,,,6.0,2.918,,,,,,,2016_Apr_15_0910,59.9110968907,Gestalt_exp1,1,22339,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
48,7736,images/k20.bmp,gestalt,,,0.0,7.0,7.0,19.0,,,,,,,5.0,1.652,,,,,,,2016_May_02_1406,59.9117815107,Gestalt_exp1,1,22567,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
49,7954,images/k20.bmp,gestalt,,,0.0,64.0,64.0,19.0,,,,,,,6.0,2.685,,,,,,,2016_Apr_15_1316,59.9229087792,Gestalt_exp1,1,22681,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
50,8118,images/k20.bmp,gestalt,,,0.0,67.0,67.0,19.0,,,,,,,4.0,2.285,,,,,,,2016_Apr_18_1505,59.9215390462,Gestalt_exp1,1,22819,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
51,8267,images/k20.bmp,gestalt,,,0.0,55.0,55.0,19.0,,,,,,,1.0,1.151,,,,,,,2016_Oct_17_1210,59.9243641891,Gestalt_exp1,1,22987,,20,0.0390237046126,0.291833333333,0.0390237046126,0.291833333333,20,0.0390237046126,0.291833333333,20
