,participant,img,Gestalt-scrambled,Inverted-Gestalt,Inverted-scrambled,gestalt,inverted,scrambled,diffGestalt,diffInv,hullDiff,densDiff
455,16522,6,0.0,1.0,1.0,4.0,3.0,5.0,-1.0,-2.0,-0.377855555556,0.00889073106128
456,16522,7,1.0,,,4.0,,4.0,0.0,,0.0646666666667,-0.00307759954249
457,16522,8,1.0,,,5.0,,6.0,-1.0,,-0.153788888889,0.0157562191299
458,16522,9,0.0,1.0,0.0,5.0,4.0,4.0,1.0,0.0,-0.0237444444444,0.00886377451772
459,16522,10,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.105588888889,0.00570845207801
460,16522,11,0.0,,,3.0,,6.0,-3.0,,0.0168555555556,0.00136234284212
461,16522,12,1.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0186777777778,0.00897918503964
462,16522,13,1.0,,,6.0,,5.0,1.0,,-0.174311111111,0.00590556020577
463,16522,14,0.0,0.0,0.0,4.0,3.0,3.0,1.0,0.0,-0.130788888889,0.0154222394647
464,16522,15,1.0,0.0,1.0,5.0,5.0,4.0,1.0,1.0,0.00115555555556,0.00133165305282
465,16522,16,0.0,1.0,1.0,4.0,4.0,5.0,-1.0,-1.0,-0.0309666666667,0.00365602306784
466,16522,17,0.0,,,4.0,,4.0,0.0,,-0.0370333333333,0.000716594707261
467,16522,18,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.0,-0.125733333333,0.00675204284885
468,16522,19,1.0,1.0,0.0,4.0,4.0,4.0,0.0,0.0,-0.0877555555556,0.00770715905724
469,16522,20,1.0,,,4.0,,4.0,0.0,,0.106566666667,-0.00766691666074
470,16522,21,1.0,1.0,1.0,4.0,4.0,6.0,-2.0,-2.0,-0.0711111111111,0.00385365895387
471,16522,22,1.0,1.0,0.0,4.0,5.0,5.0,-1.0,0.0,0.0350555555556,-0.000264336548255
472,16522,23,1.0,1.0,0.0,4.0,5.0,4.0,0.0,1.0,-0.131633333333,0.00444969970055
473,16522,24,0.0,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.1048,7.03192645681e-05
474,16522,25,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0,-0.0874555555556,0.000602427939496
475,16522,26,1.0,1.0,1.0,6.0,4.0,6.0,0.0,-2.0,-0.0972888888889,0.0107651195987
476,16522,27,0.0,1.0,0.0,4.0,6.0,6.0,-2.0,0.0,0.00161111111111,0.00196512124492
477,16522,28,0.0,0.0,1.0,4.0,3.0,5.0,-1.0,-2.0,-0.0456555555556,0.00137553891697
478,16522,29,0.0,1.0,0.0,4.0,3.0,5.0,-1.0,-2.0,-0.173477777778,0.00484626502237
479,16522,30,1.0,0.0,1.0,6.0,5.0,4.0,2.0,1.0,-0.208311111111,0.0145634808792
480,16891,1,1.0,0.0,0.0,7.0,7.0,4.0,3.0,3.0,-0.234444444444,0.00460912344787
481,16891,2,0.0,,,6.0,,3.0,3.0,,-0.290244444444,0.0111467933226
482,16891,3,1.0,1.0,0.0,6.0,7.0,7.0,-1.0,0.0,-0.270766666667,0.0101584533402
483,16891,4,1.0,1.0,1.0,7.0,6.0,7.0,0.0,-1.0,-0.114577777778,0.00844681479993
484,16891,5,0.0,1.0,1.0,2.0,5.0,6.0,-4.0,-1.0,-0.189,0.00229155864197
485,16891,6,0.0,0.0,1.0,3.0,6.0,6.0,-3.0,0.0,-0.377855555556,0.00889073106128
486,16891,7,0.0,,,7.0,,2.0,5.0,,0.0646666666667,-0.00307759954249
487,16891,8,1.0,,,3.0,,2.0,1.0,,-0.153788888889,0.0157562191299
488,16891,9,1.0,1.0,0.0,8.0,8.0,3.0,5.0,5.0,-0.0237444444444,0.00886377451772
489,16891,10,0.0,1.0,0.0,7.0,4.0,6.0,1.0,-2.0,0.105588888889,0.00570845207801
490,16891,11,1.0,,,3.0,,8.0,-5.0,,0.0168555555556,0.00136234284212
491,16891,12,0.0,0.0,0.0,6.0,6.0,3.0,3.0,3.0,0.0186777777778,0.00897918503964
492,16891,13,0.0,,,7.0,,7.0,0.0,,-0.174311111111,0.00590556020577
493,16891,14,0.0,1.0,1.0,3.0,4.0,7.0,-4.0,-3.0,-0.130788888889,0.0154222394647
