	Unnamed: 0	images	condition	imgB	imgA	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	numLoop.thisRepN	numLoop.thisTrialN	numLoop.thisN	numLoop.thisIndex	response.keys	response.rt	rating.response	rating.rt	key_resp_2.keys	key_resp_2.rt	numResp.keys	acc	Alocation	rt	date	frameRate	expName	session	participant	Unnamed: 27	img
50	135		Gestalt-scrambled	images/i07.bmp	images/k07.bmp					0.0	50.0	50.0	6.0							left	0.0	right	0.617051839828	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		7
51	136		Gestalt-scrambled	images/i22.bmp	images/k22.bmp					0.0	51.0	51.0	21.0							left	1.0	left	0.400041818619	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		22
52	137		Gestalt-scrambled	images/i18.bmp	images/k18.bmp					0.0	52.0	52.0	17.0							left	0.0	right	0.316851139069	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		18
53	138		Inverted-scrambled	images/i15.bmp	images/INVk15.bmp					0.0	53.0	53.0	39.0							right	0.0	left	0.717026948929	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		15
54	139		Gestalt-scrambled	images/i24.bmp	images/k24.bmp					0.0	54.0	54.0	23.0							right	1.0	right	0.816852092743	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		24
55	140		Inverted-scrambled	images/i24.bmp	images/INVk24.bmp					0.0	55.0	55.0	46.0							left	1.0	left	1.2002120018	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		24
56	141		Inverted-Gestalt	images/k30.bmp	images/INVk30.bmp					0.0	56.0	56.0	75.0							left	1.0	left	0.650351047516	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		30
57	142		Gestalt-scrambled	images/i15.bmp	images/k15.bmp					0.0	57.0	57.0	14.0							left	1.0	left	0.400732040405	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		15
58	143		Inverted-Gestalt	images/k26.bmp	images/INVk26.bmp					0.0	58.0	58.0	71.0							left	1.0	left	0.433596134186	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		26
59	144		Inverted-scrambled	images/i05.bmp	images/INVk05.bmp					0.0	59.0	59.0	33.0							left	1.0	left	0.499666929245	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		5
60	145		Gestalt-scrambled	images/i29.bmp	images/k29.bmp					0.0	60.0	60.0	28.0							left	0.0	right	0.35040807724	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		29
61	146		Inverted-Gestalt	images/k02.bmp	images/INVk03.bmp					0.0	61.0	61.0	54.0							left	0.0	right	0.26704788208	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		3
62	147		Inverted-Gestalt	images/k09.bmp	images/INVk09.bmp					0.0	62.0	62.0	58.0							right	1.0	right	0.733585834503	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		9
63	148		Inverted-Gestalt	images/k18.bmp	images/INVk18.bmp					0.0	63.0	63.0	64.0							left	1.0	left	0.333297014236	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		18
64	149		Gestalt-scrambled	images/i14.bmp	images/k14.bmp					0.0	64.0	64.0	13.0							right	0.0	left	0.76685500145	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		14
65	150		Gestalt-scrambled	images/i04.bmp	images/k04.bmp					0.0	65.0	65.0	3.0							left	0.0	right	0.383388996124	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		4
66	151		Inverted-Gestalt	images/k28.bmp	images/INVk28.bmp					0.0	66.0	66.0	73.0							left	1.0	left	0.666762113571	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		28
67	152		Gestalt-scrambled	images/i27.bmp	images/k27.bmp					0.0	67.0	67.0	26.0							left	0.0	right	0.900199174881	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		27
68	153		Gestalt-scrambled	images/i05.bmp	images/k05.bmp					0.0	68.0	68.0	4.0							right	0.0	left	1.03263998032	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		5
69	154		Inverted-Gestalt	images/k27.bmp	images/INVk27.bmp					0.0	69.0	69.0	72.0							left	1.0	left	1.26653885841	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		27
70	155		Gestalt-scrambled	images/i26.bmp	images/k26.bmp					0.0	70.0	70.0	25.0							left	0.0	right	0.666704893112	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		26
71	156		Gestalt-scrambled	images/i02.bmp	images/k02.bmp					0.0	71.0	71.0	1.0							left	0.0	right	0.599991083145	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		2
72	157		Inverted-Gestalt	images/k22.bmp	images/INVk22.bmp					0.0	72.0	72.0	67.0							left	1.0	left	0.866245031357	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		22
73	158		Gestalt-scrambled	images/i01.bmp	images/k01.bmp					0.0	73.0	73.0	0.0							right	1.0	right	0.366860151291	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		1
74	159		Inverted-scrambled	images/i18.bmp	images/INVk18.bmp					0.0	74.0	74.0	41.0							left	0.0	right	0.999680042267	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		18
75	160		Inverted-Gestalt	images/k15.bmp	images/INVk15.bmp					0.0	75.0	75.0	62.0							right	0.0	left	0.784240007401	2016_Oct_17_1007	59.9207685989	Gestalt_exp1	1	5635		15
76	246		Inverted-Gestalt	images/k19.bmp	images/INVk19.bmp					0.0	0.0	0.0	65.0							right	1.0	right	0.583532094955	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		19
77	247		Gestalt-scrambled	images/i11.bmp	images/k11.bmp					0.0	1.0	1.0	10.0							right	0.0	left	0.666313886642	2016_Oct_24_1403	59.9081874302	Gestalt_exp1	1	7333		11
