images,condition,imgB,imgA,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,numLoop.thisRepN,numLoop.thisTrialN,numLoop.thisN,numLoop.thisIndex,response.keys,response.rt,rating.response,rating.rt,key_resp_2.keys,key_resp_2.rt,numResp.keys,numResp.corr,numResp.rt,date,frameRate,expName,session,participant,
images/k08.bmp,gestalt,,,0,72,72,7,,,,,,,3,2.033,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k24.bmp,gestalt,,,0,73,73,23,,,,,,,3,2.083,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i03.bmp,scrambled,,,0,74,74,32,,,,,,,8,1.403,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k10.bmp,gestalt,,,0,75,75,9,,,,,,,5,1.933,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i24.bmp,scrambled,,,0,76,76,53,,,,,,,5,2.137,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k07.bmp,gestalt,,,0,77,77,6,,,,,,,4,2.487,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i16.bmp,scrambled,,,0,78,78,45,,,,,,,7,1.796,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i25.bmp,scrambled,,,0,79,79,54,,,,,,,7,1.447,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/k04.bmp,gestalt,,,0,80,80,3,,,,,,,4,2.275,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/INVk12.bmp,inverted,,,0,81,81,67,,,,,,,4,1.581,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
images/i07.bmp,scrambled,,,0,82,82,36,,,,,,,8,2.689,,,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,,,,,,,,,,,,,,,,space,27.1930232916,,,,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i25.bmp,images/k25.bmp,,,,,0,0,0,24,,,,,,,right,0,0.73826075354,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i16.bmp,images/INVk16.bmp,,,,,0,1,1,40,,,,,,,right,0,0.551454004773,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i21.bmp,images/k21.bmp,,,,,0,2,2,20,,,,,,,right,1,0.537577647992,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i02.bmp,images/k02.bmp,,,,,0,3,3,1,,,,,,,left,0,0.368049954719,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k24.bmp,images/INVk24.bmp,,,,,0,4,4,69,,,,,,,right,1,0.450789373077,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i03.bmp,images/k03.bmp,,,,,0,5,5,2,,,,,,,left,0,1.38946980848,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i02.bmp,images/INVk03.bmp,,,,,0,6,6,31,,,,,,,left,0,0.620982040156,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i26.bmp,images/k26.bmp,,,,,0,7,7,25,,,,,,,right,0,0.605072702383,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i30.bmp,images/k30.bmp,,,,,0,8,8,29,,,,,,,left,0,0.286657589386,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i28.bmp,images/INVk28.bmp,,,,,0,9,9,50,,,,,,,left,0,0.768125133094,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i18.bmp,images/INVk18.bmp,,,,,0,10,10,41,,,,,,,left,1,1.95238146147,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k02.bmp,images/INVk03.bmp,,,,,0,11,11,54,,,,,,,left,0,0.537750412885,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i07.bmp,images/k07.bmp,,,,,0,12,12,6,,,,,,,left,0,0.60248807109,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i18.bmp,images/k18.bmp,,,,,0,13,13,17,,,,,,,left,0,0.668368372397,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i04.bmp,images/INVk04.bmp,,,,,0,14,14,32,,,,,,,left,0,1.01857222641,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k10.bmp,images/INVk10.bmp,,,,,0,15,15,59,,,,,,,right,1,0.15081092593,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i28.bmp,images/k28.bmp,,,,,0,16,16,27,,,,,,,left,0,0.317996457452,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-scrambled,images/i14.bmp,images/INVk14.bmp,,,,,0,17,17,38,,,,,,,left,0,0.41728581216,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i12.bmp,images/k12.bmp,,,,,0,18,18,11,,,,,,,right,1,1.79075605169,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i09.bmp,images/k09.bmp,,,,,0,19,19,8,,,,,,,left,0,0.335074096467,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i17.bmp,images/k17.bmp,,,,,0,20,20,16,,,,,,,left,1,0.318929986606,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k19.bmp,images/INVk19.bmp,,,,,0,21,21,65,,,,,,,left,1,0.269226723132,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i24.bmp,images/k24.bmp,,,,,0,22,22,23,,,,,,,left,0,0.335699300136,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i15.bmp,images/k15.bmp,,,,,0,23,23,14,,,,,,,left,1,0.403267052621,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i22.bmp,images/k22.bmp,,,,,0,24,24,21,,,,,,,right,0,0.151617019568,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Gestalt-scrambled,images/i27.bmp,images/k27.bmp,,,,,0,25,25,26,,,,,,,right,1,0.787939214119,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
,Inverted-Gestalt,images/k25.bmp,images/INVk25.bmp,,,,,0,26,26,70,,,,,,,left,1,0.701817623558,2016_mrt_24_1432,58.7634347815,Gestalt_exp1,001,P1,
